title;unit;in_storage;type;cost;gost;fasovka;characteristic;main_provider
Дрожжи "Воронежские" 0,5 кг;кг;0;Дрожжи;0;;;;1
Дрожжи "Глорипан";кг;0;Дрожжи;0;;;;1
Дрожжи "ДСЛ" Воронеж;кг;0;Дрожжи;0;;;;1
Дрожжи "Пакмая" 500г;кг;0;Дрожжи;0;;;;1
Дрожжи "Фермипан коричневые";кг;0;Дрожжи;0;;;;1
Дрожжи "Фермипан красные";кг;0;Дрожжи;0;;;;1
Дрожжи "Фермипан Софт" (2 в 1);кг;0;Дрожжи;0;;;;1
Дрожжи "Фермипан Супер" 2 в 1;кг;0;Дрожжи;0;;;;1
Загуститель Медея;кг;0;Загуститель;0;;;;1
Загуститель Микеланджело;кг;0;Загуститель;0;;;;1
Загуститель Софт Биндерс;кг;0;Загуститель;0;;;;1
Крахмал картофельный в/с. Россия;кг;0;Загуститель;0;;;;1
Крахмал картофельный в/сДания;кг;0;Загуститель;0;;;;1
Крахмал кукурузный;кг;0;Загуститель;0;;;;1
Пектин цитрусовый;кг;0;Загуститель;0;;;;1
Кокосовая стружка "Медиум";кг;0;Кокосовая стружка;0;;;;1
Кокосовая стружка  "Файн";кг;0;Кокосовая стружка;0;;;;1
Вишни красн. "Мараскино" с палочкой 1,9кг;бан;0;Консервированные фрукты;0;;;;1
Вишня  коктейльн с вет красная ст.б 0,76л;бан;0;Консервированные фрукты;0;;;;1
Вишня засахарен красные ведро;кг;0;Консервированные фрукты;0;;;;1
Вишня засахаренная красная короб 5 кг;кг;0;Консервированные фрукты;0;;;;1
Молд силиконовый АССОРТИ ЦВЕТОВ (11шт)11*9*1 34727;шт;0;Консервированные фрукты;0;;;;1
Краситель  Luxomix  Аннато  желт/оранж 0021 натуральный;кг;0;Краситель;0;;;;1
Краситель Luxomix Антоцианин водораст0050красно-фиолетов натуральный;шт;0;Краситель;0;;;;1
Краситель Luxomix Бета-каротин водораст0004золот/желтый натуральный;шт;0;Краситель;0;;;;1
Краситель Luxomix Бета-каротин жирораст0002 золот/желтый натуральный;шт;0;Краситель;0;;;;1
Краситель  Luxomix Кармин жирораств 0033 красная ягода натуральный;шт;0;Краситель;0;;;;1
Краситель Lexomir уголь;кг;0;Краситель;0;;;;1
Краситель  Luxomix Хлорофилл вод/жир рств0041зелен натуральный;шт;0;Краситель;0;;;;1
Краситель Luxomiх  Куркумин вод/жир раств 0040 ярко/желтый натуральный;шт;0;Краситель;0;;;;1
Краситель гелевый CHOCOLATE BROWN 21гр 0245;шт;0;Краситель;0;;;;1
Краситель гелевый DEEP PINK 21гр 0209;шт;0;Краситель;0;;;;1
Краситель гелевый ELECTRIK ORANGE  21гр 0246;шт;0;Краситель;0;;;;1
Краситель гелевый GOLD 21гр 0203;шт;0;Краситель;0;;;;1
Краситель гелевый  MAUVE 21гр 0368;шт;0;Краситель;0;;;;1
Краситель гелевый SKY BLUE 21гр 0250;шт;0;Краситель;0;;;;1
Краситель гелевый SOFT PINK 21гр 0213;шт;0;Краситель;0;;;;1
Краситель пищ.гелевый Бирюзовый 100г;шт;0;Краситель;0;;;;1
Краситель пищевой гелевый Голубой 100г;шт;0;Краситель;0;;;;1
Краситель пищ.гелевый Золотой  100г;шт;0;Краситель;0;;;;1
Краситель пищ. гелевый Оранжевый 100г;шт;0;Краситель;0;;;;1
Краситель пищ.гелевый РОЗОВЫЙ (Малиновый) 100г;шт;0;Краситель;0;;;;1
Краситель пищ.гелевый Серебряный 100г;шт;0;Краситель;0;;;;1
Краситель пищевой "Желтый" 0,25;шт;0;Краситель;0;;;;1
Краситель пищевой "Зеленый" 250мл (Е 131,Е132);шт;0;Краситель;0;;;;1
Краситель пищевой "Лимонный" 0,25кг.;шт;0;Краситель;0;;;;1
Краситель гелевый  MAUVE 21гр 0368;шт;0;Краситель;0;;;;1
Краситель пищевой "Оранжевый" 250мл (Е110, Е124);шт;0;Краситель;0;;;;1
Краситель пищевой "Пурпурно-красный" (роз.) 0,25кг.;шт;0;Краситель;0;;;;1
Краситель Б Кандурин Золотой  блеск 5г;шт;0;Краситель;0;;;;1
Красители Кандурин разноцв. 5г;шт;0;Краситель;0;;;;1
Краситель Серебряный блеск 5г;шт;0;Краситель;0;;;;1
Краситель Б Коричневый янтарь 5г;шт;0;Краситель;0;;;;1
Краситель Б Оранжевый янтарь 5г;шт;0;Краситель;0;;;;1
Краситель пищевой Зеленое яблоко;кг;0;Краситель;0;;;;1
Краситель Индиго кармин (гол);кг;0;Краситель;0;;;;1
Краситель Кармуазин;кг;0;Краситель;0;;;;1
Краситель Понсо 4R  (клубнич) 0,5кг;кг;0;Краситель;0;;;;1
Краситель Сансет желтый (Солнечный закат) 1кг;кг;0;Краситель;0;;;;1
Краситель Солнечный закат;кг;0;Краситель;0;;;;1
Краситель Тартразин 1кг;кг;0;Краситель;0;;;;1
Йогурт ФРЭШ эконом смесь для конд крема;кг;0;кремы;0;;;;1
Крем  заварной Ваниль;кг;0;кремы;0;;;;1
Крем заварной ванильный "МагияКрем";кг;0;кремы;0;;;;1
Крем заварной Дельфия Кальткрем;кг;0;кремы;0;;;;1
Крем заварной Кремина;кг;0;кремы;0;;;;1
Крем заварной Садко творог ФСД;кг;0;кремы;0;;;;1
Кремиголд;кг;0;кремы;0;;;;1
Смесь для десерта "Маскарпоне";л;0;кремы;0;;;;1
Крем "Caravella Ante-forno Hazelnut";кг;0;кремы;0;;;;1
Крем "Какао анте-форно";кг;0;кремы;0;;;;1
Крем Шок ореховый №61м Аэлита;кг;0;кремы;0;;;;1
Крем Шок Ромовый №67;кг;0;кремы;0;;;;1
Начинка Дольчемикс АбрикосТ;кг;0;кремы;0;;;;1
Начинка Дольчемикс БананТ;кг;0;кремы;0;;;;1
Начинка Дольчемикс Ваниль Т 6N10104;кг;0;кремы;0;;;;1
